MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity9am,,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RISK_MM,Humidity3pm,RainTomorrow,RainToday
15.3,33.4,0,8.8,9.5,59,2,31,60,,1012.4,1006.5,1,5,22.2,32,0.4,26,No,No
16.4,19.4,0.4,9.2,0,26,6,11,88,,1010.7,1008.9,8,8,16.5,18,25.8,72,Yes,No
15.4,28.4,0,4.4,8.1,33,9,15,85,,1022.4,1018.6,8,2,16.8,27,0,31,No,No
15.6,26.9,0,6.8,8.9,41,6,22,65,,1019.7,1016.5,2,4,19.8,25,0.2,48,No,No
12.9,28,0,4.4,10.7,52,6,11,61,,1019.2,1014.8,5,7,18.8,26,0,31,No,No
13.6,24.1,0.4,2.6,0.5,30,6,6,83,,1017.2,1013.3,8,7,17.3,23,22.6,65,Yes,No
15.1,20.4,22.6,2.4,0.2,41,6,20,82,,1015,1014.1,8,8,17,16,4.2,90,Yes,Yes
11.6,26.3,4.2,1.6,12,41,6,9,66,,1013.9,1009.5,2,2,16.7,25,0.2,46,No,Yes
16.6,24.2,0.2,6.6,4.7,50,13,35,72,,1007.9,1004.6,7,7,20.5,19,6.6,60,Yes,No
13.3,26.5,6.6,3.8,11.8,50,20,26,74,,1007.3,1006.3,5,2,18.8,25,0,40,No,Yes
17.2,25.8,0,4.2,8.8,41,6,6,70,,1014.5,1011.5,6,7,21.5,22,4,74,Yes,No
16.5,28.2,4,4.2,8.8,39,7,13,76,,1014.8,1011.4,8,1,18,26,0,42,No,Yes
15,29.4,0,6.6,11.1,43,9,24,78,,1010.8,1008.5,7,7,20.6,28,0,24,No,No
14.9,24.8,0,10.4,10,35,11,6,58,,1011.7,1010.4,7,7,19.3,22,0.6,37,No,No
11.7,21.5,0,4.2,7.3,41,15,24,66,,1021.1,1019.6,7,5,15.7,19,0,51,No,No
9.6,20.3,0,5,3.6,39,22,20,70,,1021.9,1019.3,7,7,15.8,19,0,49,No,No
8.9,27.1,0,4.4,12.7,35,6,11,63,,1018.1,1012.5,1,2,15.8,25,0,37,No,No
15.5,21.1,5.4,6.4,0.9,31,6,7,93,,1010.1,1008.6,8,8,16.6,20,1.4,86,Yes,Yes
10.8,21.7,1.4,2.8,10.6,48,13,20,59,,1017.6,1016.8,1,4,15.3,20,0,40,No,Yes
7.5,20.9,0,6.6,8.7,39,13,20,61,,1020.6,1018.3,6,7,15.3,19,0,43,No,No
12.8,21,0,6.4,0.8,22,7,6,72,,1018,1015.6,8,8,16.1,20,3.4,64,Yes,No
12.6,23.1,3.4,1.6,2.3,30,4,13,97,,1015.8,1014.1,8,7,15.3,20,6.4,74,Yes,Yes
14.8,29.5,6.4,1.8,8.1,41,6,22,81,,1012.9,1008.3,2,7,21,28,11,85,Yes,Yes
19.9,22,11,4.4,5.9,76,41,30,92,,996.5,996.8,8,3,20.6,19,17.4,62,Yes,Yes
9.2,20.4,17.4,7.8,10.2,39,9,20,59,,1009.5,1009.1,1,7,14.9,18,0,49,No,Yes
12.4,24.4,0,6.2,12.1,44,7,13,69,,1012.8,1009.7,6,4,15,22,3.4,78,Yes,No
11.3,21.7,3.4,8.2,5.6,41,11,11,67,,1020.4,1019.1,8,3,12.4,21,0,52,No,Yes
9.8,26.3,0,5.2,13,41,6,19,63,,1023.2,1018,1,1,15.3,23,0,35,No,No
14.3,26.7,0,7.2,7.1,65,7,48,68,,1017.3,1014.3,7,7,19.8,19,14.4,64,Yes,No
15.1,28.3,14.4,8.8,13.2,28,6,13,73,,1016.8,1013.4,1,5,18.3,27,0,44,No,Yes
14.4,31.6,0,6.6,13.6,30,6,7,65,,1017.1,1014.2,0,2,21.5,30,0,30,No,No
15.4,35,0,9.6,13,39,6,22,55,,1017.4,1015,1,1,23.4,34,0,18,No,No
13.8,33.5,0,11.4,13.6,31,7,9,44,,1019.2,1015.6,0,1,21.9,32,0,20,No,No
13.6,34.2,0,8.8,12.8,35,2,11,50,,1015.8,1011.6,7,6,21.9,31,0,20,No,No
14.3,35,0,7.6,10.5,41,2,9,43,,1012.6,1008.7,0,1,23,33,0,14,No,No
16.7,25.3,0,6.2,12.5,46,24,26,56,,1016.2,1013,6,7,20.3,23,0,45,No,No
12.1,27.5,0,7.4,11.7,35,7,15,69,,1011.8,1007.4,7,2,18.6,26,0,40,No,No
14.3,34.1,0,6.6,10.5,39,6,19,77,,1006.6,1003.3,1,1,18.9,31,0,34,No,No
16.5,33.9,0,9,12.6,39,11,11,60,,1012.3,1009.5,1,1,20.8,31,0,36,No,No
16.5,30.3,0,10,8.1,46,7,9,77,,1015.7,1013.4,7,1,18.1,28,0,44,No,No
17.5,29.9,0,6.6,8.8,43,13,11,74,,1018.5,1015.9,8,1,19.3,27,0,45,No,No
14.7,34.2,0,6.6,12.8,33,6,11,64,,1017.8,1013.3,1,1,21.3,32,0,25,No,No
17.5,35.8,0,9.4,13.3,57,6,19,56,,1011.8,1006.5,0,1,24.7,34,0,24,No,No
17,33.8,2,9,13.5,52,6,24,65,,1004,1001.8,2,3,23,31,0,35,No,Yes
15.4,33.8,0,5.2,11.1,35,7,15,70,,1014.2,1009,7,1,18,31,0,26,No,No
17.9,33.2,0,10.4,8.4,59,15,20,58,,1008.5,1006.1,6,7,24.5,23,4.8,62,Yes,No
15.2,25.1,4.8,6.4,11.6,46,20,28,62,,1016.8,1015,1,1,17.1,23,0,42,No,Yes
15.1,20.4,0,9.6,0.1,39,17,19,63,,1017.5,1015.8,8,8,17.8,19,18.8,65,Yes,No
15.3,19.6,18.8,5,0,33,9,13,92,,1008.7,1006,8,8,18,18,12.2,88,Yes,Yes
10,22.5,0,4.4,11.6,33,11,7,55,,1018.7,1016.8,1,2,14.7,22,0,46,No,No
9.9,24.4,0,5.8,10.8,28,7,7,60,,1021.6,1019.2,1,4,16.2,22,0,38,No,No
10.3,27.8,0,6.4,9.9,35,6,11,64,,1021.3,1018.1,3,6,17,26,0,29,No,No
15.4,25.7,0,6.8,8.2,41,9,17,67,,1020.1,1016.9,7,7,17.6,24,0,32,No,No
12.7,28.8,0,7.4,9,28,4,7,70,,1016.5,1012.4,1,5,18.3,28,0,28,No,No
13.2,31.3,0,6.6,11.6,46,4,26,71,,1013.1,1009.5,1,4,19.7,30,0,28,No,No
15.3,33.2,0,9.4,13.2,44,4,24,60,,1013.9,1012,0,1,22.4,32,0,18,No,No
17.9,33.9,0,10.4,11.8,46,6,11,72,,1017.4,1014.6,1,1,19.8,32,0,22,No,No
17.6,27.8,5.2,10.2,3.6,39,13,13,66,,1014.6,1012.8,7,8,21.4,26,2.2,71,Yes,Yes
16,23.8,2.2,5.4,6.2,30,11,11,73,,1018.9,1017.1,8,7,16.5,22,0,49,No,Yes
14.9,28.8,0,5.8,8.1,30,7,11,71,,1018.2,1014.5,7,2,19.1,27,0,44,No,No
17.1,29.6,0,5.8,9.2,48,9,17,67,,1016.7,1012.8,6,7,21.7,29,1.8,72,Yes,No
18.2,22.6,1.8,8,0,33,7,13,92,,1014.4,1011.5,8,8,18.5,22,9,76,Yes,Yes
13.6,27.4,1,2.8,8,52,6,24,77,,1002.1,997.5,4,7,18.7,26,0,41,No,No
14.5,24.2,0,6.8,5.9,61,11,20,76,,999.4,998.9,7,7,17.9,20,16.2,76,Yes,No
9.1,23.1,0,5.8,9.6,41,17,13,66,,1013.6,1011.4,1,7,14,21,0,37,No,No
8.9,26,0,5,10.7,31,7,13,74,,1016.1,1011.7,1,5,14.6,24,4.4,69,Yes,No
14.5,24.2,4.4,6.6,5.9,48,9,17,95,,1010.8,1006.8,8,5,15.8,22,11,60,Yes,Yes
8.6,24.2,0.2,2.8,12.7,33,11,9,63,,1017.5,1015.1,1,1,13.7,22,0,37,No,No
10.8,25.2,0,5.6,12.6,35,7,7,69,,1020.2,1016.7,1,1,15,24,0,32,No,No
11.2,26.1,0,7.2,12.6,39,7,19,71,,1022.9,1020,1,1,15.3,24,0,40,No,No
12.1,24.1,0,7.4,10.2,46,9,13,64,,1025.2,1021.4,7,1,15.4,22,0,46,No,No
10.8,25.8,0,6.8,11.7,31,7,11,72,,1021.3,1017.4,5,4,17.2,24,0,42,No,No
11.4,27.1,0,5.6,12.1,33,6,15,69,,1017.6,1012.8,1,2,16.9,26,0,38,No,No
16.3,24.8,1.8,7.8,3.8,50,4,7,88,,1011.8,1008.4,7,7,17.5,24,6.6,94,Yes,Yes
12.7,28.6,6.6,3.2,8.6,50,NA,28,78,,1008.3,1002.3,5,5,16.5,27,0,42,No,Yes
12.7,25.1,0,7.8,12.4,46,20,26,57,,1007.4,1005.4,1,1,15.7,24,0,32,No,No
12,23.8,0,10.4,12.4,44,15,30,54,,1007.9,1007.2,0,1,15.1,22,0,34,No,No
11.5,25.9,0,5.2,10.2,44,9,7,70,,1016.4,1014.3,6,2,15.8,24,0,35,No,No
13,28.2,0,5,11.6,44,4,17,74,,1017.6,1014.4,3,6,17.4,27,0,27,No,No
11.7,27.6,0,7.8,8.1,48,NA,30,74,,1013.6,1009.1,2,6,17.6,26,0,25,No,No
14.8,17.3,0,7.6,0.8,48,13,13,74,,1010,1009.9,7,7,15.7,15,10.4,78,Yes,No
7.7,18.4,10.4,5.2,12,48,24,17,58,,1015.5,1014.5,5,1,10.6,16,0,34,No,Yes
4.4,21.8,0,6.2,12.1,35,15,15,60,,1020.8,1019.3,1,1,11.7,20,0,31,No,No
7.4,24.4,0,6.2,11.6,35,7,11,65,,1026.3,1023.2,0,2,12.2,22,0,37,No,No
8.3,27.3,0,5.6,10.1,35,6,9,78,,1025.4,1020.4,1,1,13.8,25,0,28,No,No
10.1,28.2,0,6,7.3,39,6,7,72,,1021.1,1018.2,1,7,15.6,27,0,28,No,No
12,27.6,0,6,11,46,7,6,69,,1025.5,1022.2,1,1,15.7,26,0,35,No,No
12.9,31.8,0,6,11.3,41,6,9,76,,1023.9,1019.3,2,3,17.4,30,0,24,No,No
9.5,27.4,3,4.8,11.5,24,6,9,79,,1024.7,1020.7,1,7,14,24,0,39,No,Yes
12.1,27.8,0,5,11.5,41,7,11,66,,1024.8,1023.1,0,1,17.8,27,0,33,No,No
12.5,31.7,0,6.6,11.2,24,6,9,74,,1024.9,1020.4,1,1,17.2,30,0,28,No,No
13.9,34.7,0,6.4,8.5,46,11,7,50,,1022.8,1019.3,0,3,20.2,32,0.2,18,No,No
13.3,31.7,0.2,7.8,11,44,6,28,80,,1021.6,1017.6,2,5,17.5,30,0,23,No,No
13.2,33.1,0,8.6,9.7,39,7,7,91,,1020.9,1017.7,7,1,16.1,31,0,18,No,No
12.3,33.8,0,7.2,11.3,22,9,13,57,,1022.6,1019.1,0,1,17.9,32,0,15,No,No
13.8,35.2,0,6.4,11.2,48,7,4,47,,1022.5,1019.3,5,2,21.4,34,0,15,No,No
11.3,32.3,0,9.4,11.4,28,4,6,44,,1024.3,1020.7,5,2,18.2,30,0,17,No,No
11.7,30.2,0,7.8,11.2,33,9,13,73,,1024.3,1020.6,1,0,17.7,28,0,22,No,No
12.5,29.9,0,5.8,10.7,43,0,19,76,,1022.7,1018.8,0,1,16.8,29,0,30,No,No
15.1,26.2,0,9,9.8,31,4,15,59,,1022.1,1018.7,1,4,19.7,24,0,48,No,No
11.5,29.3,0,5.2,8,46,0,26,76,,1013.8,1009.4,7,7,17.1,27,0,35,No,No
12.8,24.9,0,2.4,6.2,30,6,7,76,,1023.2,1019.3,7,6,15.5,24,0.6,44,No,No
15.5,22.4,0.6,4.8,1.9,28,6,19,89,,1018.7,1015.4,8,7,17.1,21,6.4,68,Yes,No
13.1,17.4,6.4,2.8,0,43,11,20,94,,1010.2,1006.5,8,8,16.4,16,19.8,93,Yes,Yes
12.6,20.2,19.8,2.6,9.1,46,17,20,76,,1007.9,1008.4,5,4,15.1,17,0,50,No,Yes
4.4,18.3,0,4.6,9.6,33,7,17,80,,1014.8,1012.6,1,2,8.4,17,0,36,No,No
4.4,18.2,0,3.6,11,31,7,19,78,,1017.4,1015,1,3,9.2,17,0,35,No,No
7.1,18.5,0,3.4,10,57,9,22,90,,1015.1,1011.3,6,6,8.8,18,0,30,No,No
4.2,18.9,0,6.4,10.8,50,6,31,60,,1011.2,1009.3,3,2,11.2,18,0,34,No,No
9.6,18.8,0,6.4,10,57,19,26,54,,1012.7,1013,2,5,13.1,16,0,42,No,No
3.5,21.8,0,6,10.3,22,7,11,72,,1023.9,1021.2,0,1,8.7,21,0,34,No,No
7,14.3,2.6,9.6,9.7,63,26,33,68,,1010.3,1012.7,1,3,9.1,13,0,40,No,Yes
0.4,18.9,0,4.8,9.6,22,6,7,77,,1021.2,1019.1,0,1,5.2,17,0,33,No,No
3.2,21.4,0,3.2,10.6,26,7,7,76,,1025.2,1022.3,0,1,8.2,20,0,27,No,No
5.9,21.8,0,2.8,9.3,35,7,11,70,,1028,1024.1,1,5,12.9,20,0,35,No,No
8.1,20.5,0,3.8,7.8,31,11,11,66,,1027.8,1024,1,5,14.9,19,0,48,No,No
6.9,18.9,0,4.2,4.1,39,15,9,68,,1028.2,1025.4,5,4,13.8,17,0,45,No,No
5.6,19.5,0,2.8,6.8,17,9,6,69,,1025.7,1021.8,6,4,14.3,18,0,49,No,No
7.2,22.9,0,2.2,9.5,26,4,6,82,,1023.1,1019.2,1,1,14,22,0,28,No,No
7.1,23.4,0,3.4,10.2,39,2,7,72,,1021,1016.9,0,1,12.7,22,0,29,No,No
7.1,19.8,2,3.2,7.7,39,13,15,96,,1018.4,1013.8,5,2,10.7,19,5.2,89,Yes,Yes
5.6,18,5.2,3.8,9.3,31,9,20,70,,1020.8,1019.6,1,1,12.4,17,0,40,No,Yes
5.4,20.7,0,3.2,10.8,28,7,9,66,,1027.2,1023.9,1,2,12.3,20,0,36,No,No
6.3,19.3,0,3.4,10.6,31,9,13,65,,1027.9,1024.4,1,1,12.6,18,0,39,No,No
5.3,21,0,4.6,6.3,26,7,7,77,,1027.2,1023.3,7,2,12,20,0,44,No,No
7.9,19.7,0,3.2,8.3,48,17,11,58,,1027.3,1024.1,3,6,14,19,0,43,No,No
8.4,16.1,0,3,4.9,35,13,22,69,,1029.5,1027.4,6,7,13.6,15,0,51,No,No
2.4,20.6,0,2.8,10.1,30,9,7,77,,1024.8,1021,1,2,10.6,19,0,34,No,No
5.6,18.9,0,3.8,8,33,13,22,79,,1025.8,1023.5,7,6,12.5,17,0,49,No,No
7.5,19,0,4,6.8,26,0,7,74,,1025.5,1022.2,6,5,12.6,18,0,43,No,No
5,20.9,0,2,8.9,22,0,7,84,,1019.9,1014.3,7,6,10.1,20,0.2,42,No,No
3.8,21.7,0.2,2.8,6.5,44,2,20,99,,1011.9,1006.7,7,7,7.9,20,0,34,No,No
7.9,18.7,0,5.8,5.8,59,26,31,68,,1003.2,997.7,6,6,14.4,16,7.2,95,Yes,No
-2.1,13.8,0.2,1.8,9.5,22,0,9,69,,1020.6,1019.6,0,1,6.3,13,0,40,No,No
-1.8,14.8,0,1.4,7,28,2,19,80,,1024.2,1020.5,1,7,5.3,13,0,40,No,No
2.1,17.3,0,1.6,9.2,43,6,28,81,,1020,1017.3,1,2,8.7,15,0,38,No,No
0.5,17.1,0,4,9.4,31,6,13,74,,1020.8,1017.4,1,1,7.4,16,0,42,No,No
-0.9,16.7,0,2.4,9.3,30,2,15,76,,1022.7,1018.5,5,2,6.2,15,0,42,No,No
0.4,19,0,3.4,8.3,39,2,19,76,,1019.8,1015.8,6,5,7.7,18,0,41,No,No
7.5,16.8,0,2.8,3,41,7,26,70,,1018,1013.8,7,7,12.5,15,0,53,No,No
8.3,17.6,0,3.4,9.4,43,17,30,73,,1015.8,1013.5,1,1,12.4,16,0,43,No,No
-0.2,18.1,0,4.4,9.4,24,0,9,80,,1021.4,1018.9,1,1,6.7,16,0,44,No,No
0.1,21,0,2.2,9.2,17,2,9,78,,1023.2,1020.3,0,1,7.6,20,0,36,No,No
1.5,20.9,0,2.4,9.3,20,2,9,80,,1023.2,1020,1,1,8.4,20,0,41,No,No
8.3,17.4,0,2,1.6,20,6,11,80,,1024.4,1021.5,7,7,13.5,17,0,52,No,No
9.4,19.2,0,2.2,7.7,24,4,15,73,,1024.2,1020.3,7,1,12.1,18,0,47,No,No
1.3,19,0,2.2,9.4,30,7,15,87,,1024.7,1021.4,1,2,7.9,18,0,34,No,No
2.2,18.6,0,2,9.2,31,NA,20,84,,1024.4,1021,1,3,8.5,17,0,44,No,No
-0.4,17.9,0,2.4,8.7,33,2,20,80,,1023.5,1018.7,1,2,6.8,17,1.8,79,Yes,No
4.3,14.1,0.8,1.6,8.8,41,13,26,71,,1008.4,1008.3,6,6,7.9,13,0,53,No,No
-2.7,18.1,0,2.2,9.3,52,0,24,85,,1017.8,1014.3,1,1,3.5,16,0,36,No,No
0.3,17,0,2.2,5.6,31,6,24,99,,1021.9,1018.6,8,1,3.8,16,0,52,No,No
3.8,17.4,0,2.6,7.3,24,2,7,81,,1024.5,1022.9,6,2,8,16,0,47,No,No
2.4,14.7,0,2.6,9.2,20,7,6,74,,1030.4,1026,1,1,5.9,13,0,43,No,No
1.2,14.8,0,2.4,6.7,17,11,6,81,,1028.5,1024.8,7,1,5.3,14,0,49,No,No
1.2,14.5,0,1.2,8.9,17,6,6,74,,1026.7,1023.5,0,1,6.5,13,0,43,No,No
-0.3,17.5,0,1.6,8.4,39,6,15,81,,1025.5,1021.8,1,5,6.2,17,3.8,89,Yes,No
4.7,18.5,3.8,2,5.1,22,6,6,99,,1026.6,1023.1,7,4,7,17,5.2,92,Yes,Yes
1.4,16.8,0,1.6,8.2,20,0,6,91,,1027.2,1024.7,1,4,6.2,16,0.2,50,No,No
2.2,17.5,0.2,1.2,8.5,20,7,7,92,,1032.1,1029.6,2,1,5.5,17,0,45,No,No
-0.1,18,0,2,8.6,NA,2,15,83,,1033.2,1028.7,1,1,5.6,17,0,46,No,No
-0.9,18.5,0,2.2,8.9,22,0,7,84,,1030.2,1027.4,2,3,4.7,18,0,38,No,No
9.8,14.4,0.8,0.6,0,20,9,11,99,,1028.5,1027.2,8,8,12.1,13,3.8,86,Yes,No
4.4,16.7,0,1.6,9,22,11,4,74,,1025.2,1022.1,1,1,9.6,16,0,42,No,No
-0.2,15.5,0,1.4,9,28,4,11,86,,1027.6,1027,1,1,4.9,14,0,42,No,No
7.4,16.3,0,1.2,NA,30,6,19,75,,1031.4,1027.9,7,7,12.1,14,6.2,65,Yes,No
8.6,13.7,6.2,2.2,0,31,2,0,97,,1027.8,1024.3,8,8,10.3,11,4.8,94,Yes,Yes
7.3,16.4,0.2,1.2,8.5,43,15,24,86,,1023.7,1019.7,1,1,11.2,14,0.6,48,No,No
8.7,13,0.6,3.2,7.1,54,19,28,82,,1013.7,1014.1,4,2,8.8,11,0,58,No,No
1,11.8,0,2.2,7.2,48,7,24,73,,1025.7,1025.6,4,1,6.5,11,0,49,No,No
6.4,16.9,0,2.6,5.9,26,17,9,78,,1027.8,1024.8,7,2,9.5,16,0,51,No,No
4,15.9,0,0.6,2,17,6,7,95,,1022.5,1019.7,8,7,8.4,14,4.8,63,Yes,No
4.2,14,0,1.4,7.6,33,9,9,74,,1026.4,1025.7,5,4,8.8,12,0,44,No,No
0.9,12.9,0,2,6.8,24,7,15,92,,1025.1,1022.1,7,7,5.5,12,0,53,No,No
4.3,12.6,0,2,9,46,0,28,75,,1026.3,1021.9,3,1,7.8,11,0,54,No,No
6.3,11.8,0,2.6,6.5,63,20,28,81,,1018.7,1020.4,6,1,7,11,0,48,No,No
3.5,14.3,0,3.4,8.9,35,7,24,71,,1027.8,1025,1,1,6.7,12,0,51,No,No
-1.5,14.8,0,2.2,8,15,6,9,90,,1029.1,1026,4,3,2.1,14,0,41,No,No
1.2,16,0,1.4,6.1,31,6,22,84,,1024.6,1020.9,7,6,6.5,14,0,38,No,No
0.5,15.4,0,2.4,6.4,70,22,28,53,,1017.2,1010.2,1,7,9.7,12,2,68,Yes,No
6.6,13.1,0.2,2.8,8.2,61,31,30,62,,1013.5,1014,5,1,10.6,12,0,53,No,No
-1.6,11.5,0,2.8,8.9,31,7,20,82,,1024.3,1021.9,1,1,3,11,0,53,No,No
-3.1,12,0,1.8,3.9,35,4,13,80,,1030.5,1030,1,6,5.9,10,0,52,No,No
-0.1,14.2,0,1.4,7,13,NA,2,81,,1032.9,1028.9,1,2,4.7,12,0,55,No,No
3,11.1,0.8,1.4,0.2,35,0,13,99,,1024.4,1021.1,7,8,6.3,8,16.8,96,Yes,No
1.8,8.7,0,1.8,1.2,65,31,35,83,,1014.6,1010.5,7,7,6,6,1.6,85,Yes,No
2.7,16.5,0,0.6,8.9,41,7,22,93,,1021.8,1019,5,1,6.7,15,0,51,No,No
-1.7,13.6,0,1.8,5.2,28,NA,17,83,,1023,1020.1,1,7,3.9,13,0.2,46,No,No
-0.9,12.8,0.2,2,1.9,17,6,9,99,,1024.1,1020.8,7,7,2.7,12,0,62,No,No
1.3,10.6,0,0.8,5.6,46,24,33,75,,1010.8,1009.4,3,5,7.7,8,1.2,73,Yes,No
2.4,11.6,1.2,2.2,8.1,35,15,22,71,,1016.7,1014.9,1,3,6,10,0.2,48,No,Yes
-1.1,11,0.2,1.8,0,41,0,6,92,,1014.4,1009,7,8,2.4,8,19.2,87,Yes,No
-2.2,11.6,0,1.4,9.2,39,2,28,68,,1025.7,1025.8,1,1,3.4,11,0,33,No,No
-3.5,11.2,0,1.6,7.7,26,6,11,76,,1033.5,1031.1,1,5,3.6,10,0,48,No,No
-1,12.2,0,1.6,8.4,30,7,13,82,,1032.2,1027.4,3,5,3.7,10,0,51,No,No
-2.1,12.9,0,1.2,8.1,31,7,13,92,,1025.7,1020.9,2,1,1.4,12,0.2,25,No,No
-2,11.3,0.2,2.2,5.9,33,2,19,88,,1020,1015.3,7,7,1.2,10,0,50,No,No
-2.3,9.7,0,1.4,1.9,28,6,13,92,,1013.8,1010,7,7,1,7,1.4,66,Yes,No
0.8,12.2,0,1.8,8.6,NA,19,22,69,,1020.9,1016.8,3,1,6.5,11,0,49,No,No
-2.8,12.2,0,2.6,8.7,31,0,15,84,,1018.3,1014.6,1,1,2.7,11,0,48,No,No
-2.8,14.1,0,2.2,6.8,48,0,26,81,,1017.3,1012.9,1,7,3,12,1,38,No,No
3,9.7,1,2.6,0.7,65,19,28,64,,1005.1,1001.3,8,7,9.6,8,6.6,82,Yes,No
2.3,12.8,0,2.2,9.6,35,4,24,70,,1021.2,1018.1,1,1,7.8,11,0,48,No,No
-1.9,10.9,0,1.8,4.2,50,0,26,78,,1020.8,1019.2,3,8,5.5,7,4,72,Yes,No
4.8,14.1,4,1.6,8.3,48,30,22,67,,1018.2,1017.6,5,1,8.9,13,0,48,No,Yes
-0.6,11.1,0,3,5,41,7,26,89,,1018.4,1015.9,7,7,3.8,5,1.2,78,Yes,No
2.3,12.2,0,2.8,9.8,44,20,30,58,,1024.2,1022.4,1,1,6.5,10,0,41,No,No
2.1,10.7,0,3.4,9.4,59,28,39,59,,1022.2,1018.2,1,1,6.2,9,0,45,No,No
4.6,14.7,0,4.4,8.4,52,28,33,54,,1014.7,1012.4,1,3,9.2,12,0,51,No,No
3.7,14.2,0,3,10,46,24,28,52,,1012.7,1011.8,1,1,8.7,13,0,27,No,No
-1.3,11.6,0,4,10.4,30,9,17,59,,1023.3,1022,0,1,4.5,10,0,35,No,No
-3.4,12.5,0,3,6.8,48,7,30,89,,1025.2,1021.8,6,7,1.4,11,0,30,No,No
-5.3,13.1,0,2.2,7.9,33,4,20,94,,1029.6,1025.6,6,6,0.1,12,0,47,No,No
0,14,0,2.4,4.7,39,13,24,60,,1027.3,1024.4,7,7,7.9,12,0,36,No,No
2.4,14.1,0,3,1.8,46,15,30,50,,1021.4,1017.8,8,8,8.6,13,0,27,No,No
-0.6,12.2,0,2.6,7,59,15,26,66,,1018.5,1016.8,8,5,6.9,10,0,44,No,No
2.3,11.6,0,5.4,9.5,54,30,17,49,,1025.9,1025.5,1,1,6.7,11,0,38,No,No
-3.7,14.4,0,2.6,10.4,22,2,11,64,,1031,1028,0,0,5.2,14,0,28,No,No
-0.9,14.2,0,2.6,7.8,31,7,19,82,,1030.2,1024.4,7,6,5.3,12,0,34,No,No
-1.5,17.3,0,2.8,9,48,0,26,77,,1023.9,1020.3,5,7,4.8,15,0,23,No,No
-3.3,15.1,0,3,NA,30,9,13,57,,1027.7,1025.5,1,1,7.9,14,0,23,No,No
-0.1,14.7,0,3.4,9.9,30,6,15,60,,1029.9,1025.9,1,5,7.2,12,0,43,No,No
-0.2,16.2,0,3.4,5.9,28,0,20,74,,1027.6,1022.9,7,6,7.3,14,0,45,No,No
0.5,16.3,0,1.8,4.1,39,4,6,81,,1023.7,1017.5,7,8,6.2,15,4,89,Yes,No
6.1,17.2,4,2.2,2.4,59,24,15,89,,1011.2,1010.4,7,7,13.5,12,7.4,85,Yes,Yes
4.1,14.8,7.4,2.6,10.8,46,20,28,60,,1023.2,1021.7,1,1,8.8,14,0,34,No,Yes
0.1,16.7,0,3.8,10.2,28,2,13,69,,1027,1024.8,1,4,9,14,0,44,No,No
3.2,12.1,0,2.8,3.9,41,17,20,69,,1033.6,1033.2,7,5,9.3,11,0.2,51,No,No
6.3,16.1,0,1.8,2.9,35,19,24,63,,1019.7,1016.2,7,7,10,15,0,33,No,No
-0.9,16.7,0,2.8,8.6,35,7,22,84,,1018.1,1013.9,7,7,6.4,15,1,33,No,No
0.2,15.5,1,2.4,9.4,31,0,11,79,,1020.6,1018.2,1,1,7.2,15,0,37,No,No
